bedrøvelig;trist, sørgjeleg, bedrøveleg
bedømme;dømma (om), verdsetja, vurdera
bedømmelse;omdømming, verdsetjing, vurdering
befaling;påbod, ordre, befaling
befaring;synfaring
befolkning;folk, folkesetnad, innbyggjarar, befolkning
beføyelse;fullmakt, kompetanse, mandat
begavet;evnerik, gåverik
begeistret;oppglødd
begivenhet;hending, storhending
begjær;trå, gir, lyst, begjær
begravelse;gravferd
begrep;omgrep, (ofte:) ord, tanke
begrense;avgrensa
begrunne;grunngje
begrunnelse;grunngjeving
begynnelse;byrjing, fyrstning
begå;gjera
behag;hugnad, glede, velvære
beherske;meistre
beholde;halda på, ta vare på, behalda
beholdning;kassesum, kontantar, (kontant-)behaldning
bekjempe;motarbeida, motverka, setja i verk tiltak mot, kjempa mot, stri mot, yta motstand mot
bekjempelse (av);strid (mot), tiltak (mot), innsats (mot), kamp (mot)
bekostning;kostnad
bekrefte;stadfesta, bekrefta
belaste;belasta, pressa, tyngja // b- konto trekkja frå / skuldskriva / belasta konto
belastning;påkjenning, trykk, press, belastning. skuldskriving
beliggenhet;plassering, stad(val) // ha fin b- liggja fint til
belyse;gjera greie for, kasta lys over, klårgjera
belønne;løna, påskjøna
belønning;løn, påskjøning
belønningsordning;påskjøningsordning
beløp;sum, beløp
beløpe seg til;koma på, kosta
bemanning;arbeidsstokk, bemanning, mannskap
beregne;rekna ut, rekna seg fram til
beregning;reknestykke, utrekning
berettiget;rettkomen, velgrunna. med rett til, som har rett til
berøre;ha (få) følgjer for, gjelda, koma inn på, vedkoma. koma nær, ta på
berørt;som det gjeld/vedkjem, part, aktuell
besette;(om stilling:) tilsetja (nokon) i
besitte;eiga, ha
besittelse;eige, eigedom
beskatte;skattleggja. utnytta
beskatning;skattlegging. utnytting
beskrive;forklara, greia ut om, omtala, skildra, beskriva
beskrivelse;forklaring, omtale, utgreiing, skildring, beskriving
beskytte;verna, beskytta
beskyttelse;vern
beslutte;avgjera, vedta
beslutning;avgjerd, (jur.:) vedtak, (i forvaltningsrett:) (enskild)vedtak, (enkelt-)
besparelse;innsparing
bestand;populasjon, setnad, stamme, bestand. førekomst
bestemmelse;(i regelverk:) føresegn, regel. (allment: avgjerd)
bestilling;tinging, bestilling
bestillingsfullmakt;tingingsfullmakt (bestillings-)
bestå av;ha, innehalda, vera samansett (av), bestå av
betegnelse;nemning
betinge;føresetja, krevja // b- seg setja som vilkår
betingelse;vilkår
betinget;på vilkår, vilkårsbunden
-betinget;-avhengig, -valda
betjene;(eit lån:) svara for, betala. (ein maskin:) arbeida med, bruka, operera, styra
betrakte;sjå på, vurdera
betraktning;syn, synsmåte, tanke // ta i b- ta omsyn til. komme i b- koma på tale / bli vurdert / bli aktuell
betryggende;forsvarleg, sikker, trygg
bety;ha å seia, innebera. tyda
betydelig;monaleg, stor, viktig, ikkje liten
betydning;følgje, tyding, vekt, verdi, verknad. (språkleg, symbolsk:) tyding // ha stor b- vera viktig / ha mykje å seia
bevege;flytta (på), lea, røra
bevegelse;rørsle
beveggrunn;grunn, motiv, tildriv, årsak
bevilge;løyva
bevilgning;løyving
bevilling;(= tillatelse) løyve
bevisst;medviten
bevissthet;medvit
bidra;gjera sitt (til), hjelpa, medverka, yta, bidra
bifalle;godkjenna, samtykkja (i), slutta seg til
bifalles;bli vedteke(n)
bilag;vedlegg
bilde;bilete/bilde
bilde-/billed-;bilet-/bilde-
billighetserstatning;rettferdsvederlag
bistand;assistanse, hjelp, medverknad, støtte, bistand
bistå;hjelpa, stø(tta)
blottstille;avsløra, utlevera
_bo_;bu
bobehandling;bubehandling
bobestyrer;bustyrar
bolig;bustad
borger;borgar
bosetning;busetnad
bosette;busetja
bosetting;busetjing (det å busetja)
bosted;bustad
bostedsløs;heimlaus, huslaus
bostøtte;bustønad, bustøtte
bredbånd;breiband
bredde;breidd
brudd;brot
bud;bod
budskap;bodskap
bunn;botn
byfogd;byfut
byttbar;bytande, som kan bytast
bytte (verb);byta (byter–bytte–bytt)
bytte (subst.);byte. (om jakt el. tjuveri:) bytte
bærekraftighet;berekraft
båndleggelse;bandlegging
;
dekke;dekkja (dekkjer–dekte–dekt)
delaktig;med på, medansvarleg, medskuldig
delaktighet;medansvar, medskuld, medverknad, å vera med i/på
delta;delta, vera med i (på)
deltakelse;deltaking
_dog_;likevel
dristighet;djervskap
drøy;dryg
dyktighet;dugleik
dyrebar;kjær. dyrverdig, kostesam
dødelighet;dødsprosent, dødstal, dødelegheit // redusert d- (òg:) at færre døyr
dølgsmål;i d- i løynd
døye;tola
;
edruelighet;edruskap
egenandel;eigendel
egenartet;særmerkt
egenerklæring;eigenfråsegn
egenmelding;eigenmelding
egenskap;eigenskap
egne (seg);høva, duga, eigna seg
egnet;høveleg, brukande, dugeleg, skikka, eigna
egnethet;ønskjeleg(e) eigenskap(ar), å vera skikka for
egnethetsvurdering;dugleiks-/bruksvurdering, eigenskapsvurdering
_eie_;eiga (eig–åtte–ått) // eid av i eiga til / som tilhøyrer
eiendel;eigedel, eignelut
eiendom;eigedom
eier;eigar
eierandel;eigardel
eierskap;eigarskap
eksempelvis;til dømes
ektefelle;ektefelle, ektemake
eldes;eldast (eldast–eldast–eldast)
elendighet;elende
ellers;elles
enebolig;einebustad
enfoldighet;einfald
engangsstønad;eingongsstønad
enhet;(forvaltningse-:) eining, avdeling. (totalitet:) einskap
enhetlig;einskapleg
Enhetsregisteret;Einingsregisteret
enhetsskole;einskapsskule
enig;samd, einig
enighet;semje
enhver;alle, kvar, kvar og ein // til e- tid heile tida / når som helst / til kvar tid
enkel;einfelt, enkel (t.d. ei einfelt/enkel sak)
enkelt;einskild, enkelt (t.d. kvar einskild/enkelt post)
enslig;einsleg
ensomhet;einsemd
enstemmig;samrøystes
entledige;gje avskil
erfare;få vita, oppleva, røyna
erfaring;oppleving, røynsle
erindre;minnast
erkjentlighet;påskjøning, takk
erkjentlighetsgave;påskjøningsgåve
erkjentlighetsgjeld;æresgjeld
erstatning;skadebot, vederlag, erstatning
erstatte;koma (setja) i staden for. gje vederlag for
erverv;arbeid, yrke, erverv
erverve;eigna til seg, få råderett over, kjøpa (inn), skaffa (seg), ta over
ervervet;(t.d. e- lidelse) pådregen, påførd, tileigna
ervervsevne;arbeidsevne, inntektsevne
ervervstillatelse;overtakingsløyve
etterlatt;attlevande, etterlaten
etterlattepensjon;attlevandepensjon, etterlatnepensjon
etterprøve;etterprøva
etterprøvbar;som kan etterprøvast
etterkomme;retta seg etter, lyda
etterskudd;etterskot
etterspørsel;etterspurnad, etterspørsel
;
faglighet;fagkunne
fatte;fatta. f- beslutning ( vedtak) ta (avgjerd), gjera (vedtak)
fellesbetegnelse;fellesnemning
ferdighet;dugleik, (tillært) evne, tame, ferdigheit
finne sted;bera til, bli halden, henda, skje
flom;flaum
fogd;fut
foranstaltning;åtgjerd
forbedre;betra, forbetra
forbehold;atterhald
forbeholde;halda (setja) av (til, for), reservera, øyremerkja
forbeholden;atterhaldsam, atterhalden, reservert, varsam
forbeholdt;bortlova, borttinga, oppteken, reservert, øyremerkt
forberede;førebu // f- seg: (føre)bu seg
forberedelse;førebuing
forbigående;førebels, kortvarig, mellombels
forbindelse;samband
forbrytelse;brotsverk
forbryter;brotsmann, forbrytar
fordel;føremon(n)
fordre;krevja
fordring;krav, tilgodehav(ande)
fordringsløshet;kravløyse
forebygge;førebyggja
forebyggelse;førebygging
foregå;gå føre seg
foregående;føregåande, førre
forekomme;bera til, henda, skje, vera
forekomst;funn, førekomst
foreligge;finnast, liggja føre, vera
foreløpig;førebels
forene;sameina, foreina
forespørsel;førespurnad
foreta;gjera, utføra
foretak;føretak
foretrekke;føretrekkja, heller vilja (ha), velja
foretrukket;føretrekt, (stundom: betre, best)
forhenværende;tidlegare
forhold;sak, tilhøve, (det forhold at:) det at
forholde seg;ha seg, høva, henga saman, stilla seg
forholdsmessig;(adv.:) etter måten. (adj.:) høveleg, relativ, samhøvande
forholdsmessighet;samhøve
forholdsmessighetsprinsipp;samhøveprinsipp
forholdsvis;etter måten, nokså, relativt
forhøye;auka, setja opp
forhøyelse;auke, auking, oppgang
forhøyet;auka, større
forhånd;på f- på førehand / i førevegen / føreåt
forhånds-;førehands-
forhåpning;von
forløp;gang (t.d. arbeids-, hendings-, pasient-), å gå (på ein viss måte), utvikling
fornybar;som kan fornyast / nyast opp att / vinnast att, fornyeleg
fornye;fornya, nya opp att
fornyelse;fornying, oppattnying
fornøyd;nøgd
forplikte;binda, forplikta
forpliktelse;skyldnad, plikt, forplikting
forpliktet;skyldig (til), pliktig, forplikta
forrige;førre
forseelse;misferd, misfaring
forsendelse;sending
forsikring;trygding, forsikring. lovnad
forsiktig;varsam
forsiktighet;varsemd
forsinkelse;(for)seinking
forskjell;skilnad
forskjellig;ulik, ymse
forskning;gransking, forsking
forskudd;forskot
forskuttere;betala el. løyva på forskot, forskotera. (overført:) ta på forskot
forskyvning;forskuving, forskyving
forstyrre;skipla, uroa, forstyrra
forstyrrelse;skipling, uroing, forstyrring
forståelse;forståing // i f- med i samråd med // ha f- for (òg:) skjøna // allmennhetens f- av saken korleis folk flest tolkar (forstår, ser på) saka
forsvarlighet;drøfte f-en av drøfta om det er forsvarleg å
forsørge;syta for, sørgja for, forsørgja
forsørger;forsytar, forsørgjar
fortegnelse;liste, oppgåve
fortrinnsrett;førerett
fortrolig;i trumål, fortruleg // f- med kjend (van) med
fortrolighet;tillit, fortrulegskap, fortrulegheit. (god) kjennskap // i f- i trumål / gjensidig f- tillit mellom
fortrinn;fordel, føremon, (for-) førerang (-rett)
fortrinnsrett;førerett (for-, fyrste-/første-)
fortrinnsvis;helst, særleg
fortsatt;enno, framleis
fortsette;halda fram
fortsettelse;framhald
fortløpende;etter kvart, jamleg, samanhengande, ubroten
forurense;ureina
forurensning;(for)ureining
forutgående;føregåande // f- kunngjøring kunngjering på førehand
forutsatt (at);dersom, så framt
forutsette;byggja på, føresetja, gå ut frå, krevja, leggja til grunn
forutsetning;føresetnad, grunnlag, krav, vilkår
forutsi;føreseia, seia på førehand, spå, varsla
forutsigbar;føreseieleg, pårekneleg, venta(nde), som ein kan venta seg (rekna med, tenkja seg til)
forutsigbarhet;føreseielegheit // økt f- i driften (òg:) meir føreseieleg(e vilkår for) drift
forvente;rekna med, sjå fram til, venta
forventet;pårekna, venta
forventning;venta resultat (utvikling), von
forverre;gjera verre
forverres;bli verre, versna
forverret;verre, dårlegare, ringare
forværelse;forkontor
for øvrig;dessutan, elles
forårsake;føra til, gjera, valda, vera årsak (opphav) til
fradrag;frådrag
framkomme;koma fram
fratrukket;fråtrekt, med frådrag av (for)
fravær;fråvær(e)
fremdeles;enno, framleis
fremkommelig;framkomeleg, framkjøm
fremkommelighet;framkjømd, framkomelegheit. samband // fylkesveiene i kommunen har for dårlig framkommelighet er for dårlege / Det er få separerte sykkelfelt, og generelt dårlig framkommelighet for syklister og generelt vanskeleg å koma fram for syklistar
fremragende;framifrå
fremmed;framand
fremmedfiendtlig;framandfiendsleg
fremmedfiendtlighet;framandhat, framandfiendslegheit
frihet;fridom, fritak
frivillig;friviljug (-villig)
frivillighet;friviljug (-villig) innsats, friviljugskap, frivilligheit
frivillighetsformål;friviljug (-villig) føremål
fullbyrdelse;fullføring
følbar;merkande
følelsesløs;kjenslelaus, nomen
følsom;kjenslevar, var, følsam. (neg.:) ømtolig. (om instrument:) fin(t)merkande, var, følsam
følsomhet;varleik // rentef- rentefølsemd // ha stor f- for svingninger vera svært var (utsett) for svingingar, bli lett påverka av svingingar
;
gave;gåve
gemen;tarveleg, simpel
gevinst;vinst, gevinst
gjenboer;tverrbuar, motbuar
gjenbosette;busetja på nytt
gjenbosetting;gjenbusetjing
gjenbruk;attbruk, ombruk, gjenbruk
gjenforene;føra saman att, sameina på nytt, foreina på nytt
gjenforening;gjensameining, gjenforeining, (òg:) heim(att)vending
gjenforent;foreint på nytt, sameint på nytt // bli gjenforent med familien (òg:) få koma (flytta, venda) heim att til familien
gjengi;gje att
gjengivelse;attgjeving
gjeninnta;ta inn att
gjenkjenne;kjenna att
gjenkjennelse;attkjenning
gjensidig;gjensidig, innbyrdes, skiftevis // gjøre en g- avtale avtala seg imellom // (merk: ofte overflødig:) gi hverandre g- støtte stø kvarandre, hjelpast åt
gjensidighet;gjensidigheit. (ofte:) motytingar, gjensidig hjelp // Samarbeidet skal preges av g- i alle ledd. Det handler om gjensidig respekt. I alt samarbeidet skal partane vera jamlikar. Det handlar om å respektera kvarandre.
gjenspeile;spegla (av)
gjenstand;gjenstand, ting // være g- for koma ut for / møta / oppleva osv. // være g- for drøftinger bli drøfta
gjenstå;stå (vera) att
gjenta;ta opp att
gjenvalg;attval
gjenvinne;vinna att (tilbake)
gjenvinning;attvinning, gjenvinning
gjenværende;attverande, som er (står) att
godtgjørelse;godtgjersle
grunnet;på grunn av
grunnløs;grunnlaus
;
Hans Majestet Kongen;Hans Majestet Kongen
Hennes Majestet Dronningen;Hennar Majestet Dronninga
Hans Kongelige Høyhet Kronprinsen;Den Høgvørde Kronprinsen
Hennes Kongelige Høyhet Kronprinsessen;Den Høgvørde Kronprinsessa
hastighet;fart, hastigheit
havn;hamn
havne;hamna
hedersbevisning;heidersteikn
heftelse;hefte
helbred;helse(tilstand)
helbrede;lækja
helhet;heilskap // i sin h- fullt ut / uavkorta
helhetlig;heilskapleg, heilskaps-
helligbrøde;helgebrot, heilagbrot
hemmelighet;løyndom
henblikk;med h- på med sikte (tanke) på
hengiven;inderleg glad i, trugen
henhold;i h- til i samsvar med av, i medhald av, med heimel i
henholdsvis;høvesvis, i same rekkjefølgje // det skal bygges to blokker i h- sju og ni etasjer det skal byggjast to blokker, ei med sju og ei med ni etasjar
henlegge;leggja bort
henrettelse;avretting
hensikt;føremål, mål, siktemål
hensiktsmessig;føremålstenleg, god, tenleg
hensiktsmessighet;praktiske omsyn, nytteomsyn, føremoner, føremålstenlegheit // vurdere h-en av (òg:) vurdera om det svarar seg (om det har noko for seg, om ein bør)
henstille;be om, oppmoda om
henstilling;oppmoding, bøn
hensyn;omsyn
hensynsfull;omsynsfull, omtenksam
henvende (seg);venda (seg), ta kontakt
henvendelse;førespurnad, kontakt. (meir spesifikt:) brev, spørsmål, søknad
henvise (til);visa (til)
henvisning;tilvising
herav;av dette (denne, desse)
herunder;irekna, medrekna, av dette (denne, desse)
hjemle;heimla
hjemmel;heimel
hjemstavn;heimstad
holdbar;som held (seg), haldbar
holdbarhet;sanningsverdi, sanningsinnhald. brukstid, lagringsevne, slitestyrke, haldbarheit
holdbarhetsdato;bruksfrist (-dato), er best før, kan brukast til
hoved-;hovud-
hovedsakelig;hovudsakleg, mest
husholdning;hushald
hvor;h- går vi? kvar/kor. de stedene h- … der det året h- … da. h- mye kor
hvorav;av dette (denne, desse)
høflighet;høfleg framferd, høflegheit
høy;høg
Høyesterett;Høgsterett
høykommissær;høgkommissær
håndgripeligheter;slagsmål
håndheve;handheva
håndterbar;handterleg
håndtere;handtera
;
ikrafttredelse;ikraftsetjing // ved i-n av avtalen (òg:) når avtalen tek til å gjelda
imidlertid;likevel, men
innbrudd;innbrot
innbefattet;medrekna
innbygger;innbyggjar
innebære;innebera, tyda // det i-r at … (òg:) det gjer at / det vil seia at
innflytelse;innverknad, påverknad
inngå;i- avtale gjera, skriva avtale // i- avtale om at avtala at // i- ekteskap gifta seg
innlede;innleia
innledning;innleiing
innrømme;vedgå, innrømma // i- noen noe la nokon få noko, gje nokon noko
innsatt;innsett
innsigelse;motsegn. motlegg, innvending
innvilge;gje, la få, stetta, tildela, innvilga
ivareta;ta hand om, ta seg av, ta vare på
ivaretakelse;ivaretaking
iverksatt;iverksett
iverksette;setja i verk
iverksettelse;iverksetjing
;
jevn;jamn
jevngammel;jamgammal (utan -n-)
jevnlig;jamleg (utan -n-)
jevnt;jamt (utan -n-)
;
kilde;kjelde
kirke;kyrkje
Kirkenes verdensråd;Kyrkjenes verdsråd
kjedsomhet;keisemd
kjennelse;orskurd
klageadgang;klagerett
klagemulighet;høve til å klaga
klar;klår/klar (det er valfritt å skilja mellom dei to tydingane ved hjelp av a og å, sjå klargjøre)
klargjøre;klargjera eller 1) klårgjera (= gjera klårare) 2) klargjera (gjera klar til bruk)
klarhet;klårleik/klarleik
kjemikalier;(flt.) kjemikalium, kjemikal, kjemikaliar
knapphet på;lite (av), liten tilgang på, skort (knappheit, knappleik, mangel) på
knytte;knyta (knyter–knytte–knytt)
konkursbegjæring;krav om konkurs
kostnadsberegne;kostnadsrekna
kostnadssenkende;kostnadsminskande
kraftanstrengelse;krafttak
krets;krins
_kun_;berre, einast
kyndig;kunnig
kyndighet;dugleik, (fag)kunne, innsikt, kunnskap
;
langsiktig;langsiktig
langsiktighet;langsiktigheit // mer l- i planleggingen meir langsiktig planlegging
_lav_;(adj.:) låg
lede;leia
ledelse;leiing
leder;leiar
ledighet;arbeidsløyse
ledsager;(reise)følgje, følgjeperson
lege;lækjar, lege
legemiddel;lækjemiddel, legemiddel
leie;(t.d. ein bil) leiga
leilighet;1) husvære, (i streng tyding:) leilegheit 2) høve, tilføre // ha l- til ha høve til / kunna // ved l- når høvet byr seg, når det høver
lettelse;lette (ein)
lidelse;liding, plage, sjukdom
likegyldig;likesæl
likegyldighet;likesæle
likhet;likskap // i l- med til liks med
lovanvendelse;lovbruk
lovbestemmelse;lovføresegn
lovbestemt;fastsett med lov, lovbestemd, lovpålagd
lovgivning;lovgjeving
lovlig;lovleg
lovlighet;å vera lovleg, lovlegheit // prøve l-en av prøve lovgrunnlaget (lovheimelen, rettsgrunnlaget, -heimelen) for
lovlighetskontroll;lovlegheitskontroll
lovlydig;lovlydig
lovlydighet;lovlydnad
lovmessig;lovbunden
lydig;lydig
lydighet;lydnad
lydighetsplikt;lydeplikt
læremiddel;læremiddel (flt. middel–midla)
lærested;lærestad
løft;lyft
lønnet;l- arbeid lønt arbeid, lønsarbeid
lønnsom;lønsam
lønnsomhet;lønsemd
løpe;(fysisk:) springa, laupa, (overført ofte:) gjelde frå, gå
løpende;etter kvart, fast, samanhangande, ståande, laupande (løp-)
løpetid;frist, nedbetalingstid, laupetid (løpe-)
løslatelse;lauslating, (ofte:) å setja fri
løsning;løysing
løsøre;lausøyre
;
mangfold;mangfald
marked;marknad (ein)
markedsadgang;marknadstilgang
medbestemmelsesrett;medråderett
meddele;melda, kunngjera, gje melding, seia
meddelelse;kunngjering, melding
medføre;føra med seg, føra til, medføra
medlidenhet;medkjensle, medynk
medlidenhetsdrap;medynksdrap
medvirkning;medverknad, medverking
mellomværende;hopehav, mellomvære
menerstatning;skadebot for mein
menighet;kyrkjelyd, forsamling
menighetsråd;sokneråd
menneskerettighetene;menneskerettane
_mer_;meir
merke;(leggja merke til:) merka (merkar–merka–merka). (setja merke på:) merkja (merkjer–merkte–merkt)
meroffentlighet;meiroffentlegheit
merverdiavgift;meirverdiavgift
mestre;meistra
mestring;meistring
middel-;medel-, mellom-, middel-
midler, midlene;(flt.) (pengar:) midlar, midlane. (reiskapar:) middel, midla
midlertidig;mellombels
Midtøsten;Midtausten
milepæl;milestolpe, milepåle
misforståelse;mistyding, misforståing
misligholde;mis(leg)halda
mislighold(else);mis(leg)hald
motsatt;motsett
motta;få, ta imot
mottakelse;mottaking
mulig;mog(e)leg
mulighet;høve, råd, utveg, mog(e)legheit // by på store m-er vera svært lovande // det er m- for (òg:) det kan henda at / det kan bli // har du mulighet til å komme? kan du koma / har du høve til å koma // det finnes ingen annen mulighet det er inga anna råd
muntlig;munnleg
muntlighet;munnleg framføring, munnleg saksførehaving, munnlegheit
myndighet;styresmakt, makt (instans òg:) etat, organ, (kompetanse òg:) avgjerdsmakt, avgjerdsrett, mynde
myndighetsområde;ansvarsområde (forvalt(n)ings-, fullmakts-, styrings-)
målbevisst;målmedviten, som veit kva ein vil
målsetting;(mål ein har sett seg:) mål. (det å setja seg mål:) målsetjing
;
navn;namn
nedkomst;fødsel, nedkomst
nedsette;setja ned
nedsettelse;nedsetjing
nedtegne;skriva ned
nyankommet;nykomen
nyanskaffelse;nyinnkjøp
nyhet;(i media:) nyhende, nyheit. (noko nytt:) nylaging, nyvinning, nyheit
nytelse;nyting
nytelsesmididel;nytingsmiddel
nyttiggjøre seg;gjera seg nytte av
nærmere;nærare
nærmest;nærast
nøkkel;nykel/nøkkel
;
offentlig;offentleg
offentlighet;offentlegheit
offentlighetslov;offentleg(heits)lov [forma utan -heit bryt med tradisjonell ordlagingsskikk]
ombud;ombod
omforent;avtala, felles, som det er semje om
omgivelse;omgjevnad
omstendighet;omstende, tilhøve // ikke under noen o-er ikkje i noko fall (tilfelle), aldri, på ingen måte
oppad;oppetter. er begrenset o- har eit tak, har ei øvre grense
oppgjør;oppgjer
opphold;opphald
oppholde seg;halda til, vera
oppholdstillatelse;opphaldsløyve
opphør;nedlegging, opphøyr, stans
opphøre;bli nedlagd, gje seg, slutta, bli avslutta, stansa
oppmerksom;klår (over), lydhøyr, lyttande, merksam. høvisk, omsynsfull // være o- på vera merksam på / vita om / kjenna til / vera klar over (medviten om, merksam på) // bli o- på bli merksam på / bli var / leggja merke til
oppmerksomhet;merksemd, ans, akt, gaum
opprettholdbar;som kan haldast ved lag
opprettholde;halda ved lag, føra vidare, ta vare på
opprinnelse;opphav
opprinnelig;opphavleg
oppsigelse;oppseiing
oppveie;vega opp (for), få (ta) att for
overbevise;overtyde
overbevisning;overtyding
overdragelse;avhending, overdraging
overenskomst;avtale, semje, forlik, overeinskomst
overfor;andsynes, overfor
oversette;omsetja, setja om
oversendelse;oversending
oversettelse;omsetjing
oversetter;omsetjar
overskride;gå ut over, kryssa, overskrida, vera større enn
overskridelse;kryssing, overskriding
overskridelsestillatelse;overskridingsløyve
overveie;tenkja gjennom
overveiende;for det meste, stort sett
overvære;vera til stades ved/på
overvåke;overvaka
overvåking;overvaking
;
personlighet;personlegdom
prisnedsettelse;prisnedslag
provisorisk anordning;provisorisk lov
pådra;p- seg dra på seg, få, pådra seg. p- utgifter påføra
pågå;vera i gang
påløpe;(om utgifter:) koma til (på), samla seg opp
påløpte;(utgifter:) oppsamla, påkomne
påregnelig;pårekneleg, (stundom:) venteleg
påregnelighet;påreknelegheit
pårørende;dei/den pårørande, dei næraste
påse;sjå til, syta for
påtalemyndighet;påtalemakt
på vegne av;på vegner av
;
rammebetingelse;rammevilkår
redegjøre;r- for gjera greie for, greia ut om
redegjørelse;utgreiing, framstilling, forklaring
redelig;skila, reieleg, heiderleg
rederi;reiarlag
redskap;reiskap
regelverksbetinget;regelverksbunden
regne (opp);rekna (opp)
regning;rekning
regnskap;rekneskap (ein)
regnskapsmessig;i r-samanheng, rekneskaps-
rettferdighet;rettferd
rettferdighetsbetraktning;rettferdssynsmåte // ut fra en r- med omsyn til rettferd
rettighet;rett
rettighetshaver;rettshavar
rettlede;rettleia
rettledning;rettleiing
rettmessig;lovleg, rettkomen, rettmessig
rettssikkerhet;rettstrygd, rettstryggleik
rettsvesen;rettsstell
rimelig;rimeleg
rimelighet;rimeleg framferd, rimelegheit // r- tilsier at det er rimelig at
rådighet;råderett, rådvald, rådvelde
;
sakkyndig;sakkunnig
sakkyndighet;sakkunne, sakkunnskap
saksbehandler;saksarbeidar, saksbehandlar, sakshandsamar
saksbehandlling;saksarbeid, saksbehandling, sakshandsaming, saksførehaving
salg;sal
samboer;sambuar
samfunnsmessig;i samfunnssamanheng, samfunns-, i (for) samfunnet
sammenliknbar;som kan jamførast, samanliknbar
sammenlikning;jamføring, samanlikna
sammensatt;samansett
_samt_;og, og dertil, og dessutan
samtlige;alle
samtykke;(subst.:) samtykke
samtykke;(verb) samtykkja (samtykkjer–samtykte–samtykt)
